Designator,NozzleNum,StackNum,Mid X,Mid Y,Rotation,Height,Speed,Vision,Pressure,Explanation

C1,1/2,1,-32.029240,46.046800,0.000000,0,100,不用,TRUE,100nF C_0805_2012Metric
C2,1/2,1,-32.129240,52.246800,0.000000,0,100,不用,TRUE,100nF C_0805_2012Metric
C3,1/2,1,-38.929240,31.146800,180.000000,0,100,不用,TRUE,10pF C_0805_2012Metric
C4,1/2,1,-38.929240,33.546800,0.000000,0,100,不用,TRUE,10pF C_0805_2012Metric
C5,1/2,1,-24.879240,35.546800,90.000000,0,100,不用,TRUE,100nF C_0805_2012Metric
C6,1/2,1,-4.229240,18.146800,270.000000,0,100,不用,TRUE,100nF C_0805_2012Metric
C7,1/2,1,0.770760,19.396800,0.000000,0,100,不用,TRUE,100nF C_0805_2012Metric
C8,1/2,1,-48.929240,45.746800,0.000000,0,100,不用,TRUE,10uF C_0805_2012Metric
C9,1/2,1,-52.179240,36.696800,270.000000,0,100,不用,TRUE,2,2uF C_0805_2012Metric
C11,1/2,1,-22.929240,15.146800,0.000000,0,100,不用,TRUE,10uF C_0805_2012Metric
C12,1/2,1,-24.479240,5.171800,270.000000,0,100,不用,TRUE,2,2uF C_0805_2012Metric
C14,1/2,1,-35.329240,33.546800,0.000000,0,100,不用,TRUE,10pF C_0805_2012Metric
C15,1/2,1,-38.929240,28.746800,180.000000,0,100,不用,TRUE,33pF C_0805_2012Metric
C16,1/2,1,-35.329240,28.946800,0.000000,0,100,不用,TRUE,33pF C_0805_2012Metric
C17,1/2,1,-35.329240,31.146800,180.000000,0,100,不用,TRUE,33pF C_0805_2012Metric
C18,1/2,1,-55.729240,27.546800,0.000000,0,100,不用,TRUE,10pF C_0805_2012Metric
C19,1/2,1,-55.729240,29.546800,180.000000,0,100,不用,TRUE,10pF C_0805_2012Metric
C20,1/2,1,-59.129240,29.546800,180.000000,0,100,不用,TRUE,10pF C_0805_2012Metric
C21,1/2,1,-56.329240,25.546800,0.000000,0,100,不用,TRUE,33pF C_0805_2012Metric
C22,1/2,1,-60.129240,25.546800,180.000000,0,100,不用,TRUE,33pF C_0805_2012Metric
C23,1/2,1,-59.129240,27.546800,0.000000,0,100,不用,TRUE,33pF C_0805_2012Metric
D3,1/2,1,-38.749240,26.946800,180.000000,0,100,不用,TRUE,SZESD9B5 D_SOD-923
D4,1/2,1,-36.529240,26.946800,180.000000,0,100,不用,TRUE,SZESD9B5 D_SOD-923
D5,1/2,1,-56.329240,22.946800,0.000000,0,100,不用,TRUE,SZESD9B5 D_SOD-923
D6,1/2,1,-59.929240,22.946800,0.000000,0,100,不用,TRUE,SZESD9B5 D_SOD-923
L1,1/2,1,-56.129240,43.146800,270.000000,0,100,不用,TRUE,CDRH6D38-6R2 CDRH6D38NP6R2NC
L2,1/2,1,-29.329240,13.346800,270.000000,0,100,不用,TRUE,CDRH6D38-6R2 CDRH6D38NP6R2NC
P1,1/2,1,-4.929240,12.346800,0.000000,0,100,不用,TRUE,Reset SW_SPST_XINES
P2,1/2,1,-20.529240,30.946800,90.000000,0,100,不用,TRUE,ID0 SW_SPST_XINES
Q1,1/2,1,-17.129240,12.096800,180.000000,0,100,不用,TRUE,Si2319CDS SOT-23
Q4,1/2,1,-25.329240,52.946800,90.000000,0,100,不用,TRUE,Si2319CDS SOT-23
R1,1/2,1,-12.129240,12.146800,90.000000,0,100,不用,TRUE,1k R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R2,1/2,1,-14.256961,12.146800,270.000000,0,100,不用,TRUE,10k R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R3,1/2,1,-4.979240,42.896800,270.000000,0,100,不用,TRUE,10K R_0805_2012Metric
R4,1/2,1,-11.229240,19.146800,0.000000,0,100,不用,TRUE,10k R_0805_2012Metric
R5,1/2,1,-2.229240,18.734300,90.000000,0,100,不用,TRUE,10K R_0805_2012Metric
R6,1/2,1,-7.729240,19.146800,180.000000,0,100,不用,TRUE,10k R_0805_2012Metric
R7,1/2,1,-16.229240,19.146800,180.000000,0,100,不用,TRUE,220r R_0805_2012Metric
R8,1/2,1,-9.979240,42.896800,270.000000,0,100,不用,TRUE,220r R_0805_2012Metric
R9,1/2,1,-15.329240,42.546800,270.000000,0,100,不用,TRUE,10K R_0805_2012Metric
R10,1/2,1,-19.529240,21.746800,180.000000,0,100,不用,TRUE,220r R_0805_2012Metric
R11,1/2,1,-1.229240,42.896800,270.000000,0,100,不用,TRUE,10K R_0805_2012Metric
R13,1/2,1,-25.529240,47.746800,180.000000,0,100,不用,TRUE,1k R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R14,1/2,1,-25.529240,49.946800,180.000000,0,100,不用,TRUE,10k R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
U1,1/2,1,-6.979240,30.396800,90.000000,0,100,不用,TRUE,ESP32-WROOM-32 ESP32-WROOM-32
U2,1/2,1,-32.156961,49.356879,180.000000,0,100,不用,TRUE,MCP98243T-BE/ST TSSOP-8_4.4x3mm_P0.65mm
U3,1/2,1,0.770760,16.146800,90.000000,0,100,不用,TRUE,TPS3839DBZ SOT-23
U6,1/2,1,-32.479240,42.796800,180.000000,0,100,不用,TRUE,ADS1115IDGS TSSOP-10_3x3mm_P0.5mm
U7,1/2,1,-27.879240,36.546800,180.000000,0,100,不用,TRUE,ADXL343 LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y
U8,1/2,1,-48.229240,40.446800,0.000000,0,100,不用,TRUE,TPS61091 Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias
U9,1/2,1,-21.729240,9.746800,0.000000,0,100,不用,TRUE,TPS61092 Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias
